gender,image_id,category,position,full_name
MEN,00000089,Denim,front,MEN-Denim-id_00000089-28_1_front.jpg
MEN,00000265,Denim,front,MEN-Denim-id_00000265-01_1_front.jpg
MEN,00000313,Denim,front,MEN-Denim-id_00000313-01_1_front.jpg
MEN,00000516,Denim,front,MEN-Denim-id_00000516-01_1_front.jpg
MEN,00000750,Denim,front,MEN-Denim-id_00000750-01_1_front.jpg
MEN,00000826,Denim,front,MEN-Denim-id_00000826-01_1_front.jpg
MEN,00000826,Denim,front,MEN-Denim-id_00000826-03_1_front.jpg
MEN,00000867,Denim,front,MEN-Denim-id_00000867-01_1_front.jpg
MEN,00000938,Denim,front,MEN-Denim-id_00000938-02_1_front.jpg
MEN,00000938,Denim,front,MEN-Denim-id_00000938-05_1_front.jpg
MEN,00002476,Denim,front,MEN-Denim-id_00002476-01_1_front.jpg
MEN,00002578,Denim,front,MEN-Denim-id_00002578-01_1_front.jpg
MEN,00002707,Denim,front,MEN-Denim-id_00002707-01_1_front.jpg
MEN,00002735,Denim,front,MEN-Denim-id_00002735-01_1_front.jpg
MEN,00003074,Denim,front,MEN-Denim-id_00003074-01_1_front.jpg
MEN,00003252,Denim,front,MEN-Denim-id_00003252-01_1_front.jpg
MEN,00003734,Denim,front,MEN-Denim-id_00003734-01_1_front.jpg
MEN,00003845,Denim,front,MEN-Denim-id_00003845-02_1_front.jpg
MEN,00006841,Denim,front,MEN-Denim-id_00006841-01_1_front.jpg
MEN,00006959,Denim,front,MEN-Denim-id_00006959-01_1_front.jpg
MEN,00007300,Denim,front,MEN-Denim-id_00007300-01_1_front.jpg
MEN,00007570,Denim,front,MEN-Denim-id_00007570-01_1_front.jpg
MEN,00007607,Denim,front,MEN-Denim-id_00007607-01_1_front.jpg
MEN,00000084,Jackets_Vests,front,MEN-Jackets_Vests-id_00000084-04_1_front.jpg
MEN,00000084,Jackets_Vests,front,MEN-Jackets_Vests-id_00000084-05_1_front.jpg
MEN,00000084,Jackets_Vests,front,MEN-Jackets_Vests-id_00000084-07_1_front.jpg
MEN,00000084,Jackets_Vests,front,MEN-Jackets_Vests-id_00000084-08_1_front.jpg
MEN,00000094,Jackets_Vests,front,MEN-Jackets_Vests-id_00000094-01_1_front.jpg
MEN,00000094,Jackets_Vests,front,MEN-Jackets_Vests-id_00000094-04_1_front.jpg
MEN,00000168,Jackets_Vests,front,MEN-Jackets_Vests-id_00000168-01_1_front.jpg
MEN,00000168,Jackets_Vests,front,MEN-Jackets_Vests-id_00000168-02_1_front.jpg
MEN,00000168,Jackets_Vests,front,MEN-Jackets_Vests-id_00000168-03_1_front.jpg
MEN,00000393,Jackets_Vests,front,MEN-Jackets_Vests-id_00000393-01_1_front.jpg
MEN,00000653,Jackets_Vests,front,MEN-Jackets_Vests-id_00000653-01_1_front.jpg
